country,agency,date,rating,rating_numeric,outlook,action,source,available_date
Greece,Fitch,2014-08-19,B,15,Stable,affirm,countryeconomy.com,2014-08-19
Greece,Fitch,2014-09-03,B,15,Stable,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2014-09-03
Greece,Fitch,2014-09-16,B,15,Stable,affirm,countryeconomy.com,2014-09-16
Greece,Fitch,2014-10-15,B,15,Stable,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2014-10-15
Greece,Fitch,2014-11-21,B,15,Stable,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2014-11-21
Greece,Fitch,2015-03-27,CCC,18,,downgrade,countryeconomy.com,2015-03-27
Greece,Fitch,2015-05-15,CCC,18,,affirm,countryeconomy.com,2015-05-15
Greece,Fitch,2015-06-30,CC,20,,downgrade,countryeconomy.com,2015-06-30
Greece,Fitch,2015-08-18,CCC,18,,upgrade,countryeconomy.com,2015-08-18
Greece,Fitch,2015-11-13,CCC,18,,affirm,countryeconomy.com,2015-11-13
Greece,Fitch,2016-03-11,CCC,18,,affirm,countryeconomy.com,2016-03-11
Greece,Fitch,2016-07-22,CCC,18,,affirm,countryeconomy.com,2016-07-22
Greece,Fitch,2016-09-02,CCC,18,,affirm,countryeconomy.com,2016-09-02
Greece,Fitch,2017-02-24,CCC,18,,affirm,countryeconomy.com,2017-02-24
Greece,Fitch,2017-08-18,B-,16,Positive,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2017-08-18
Greece,Fitch,2018-02-16,B,15,Positive,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2018-02-16
Greece,Fitch,2018-08-10,BB-,13,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2018-08-10
Greece,Fitch,2019-02-08,BB-,13,Stable,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2019-02-08
Greece,Fitch,2019-08-02,BB-,13,Stable,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2019-08-02
Greece,Fitch,2020-01-24,BB,12,,upgrade,countryeconomy.com,2020-01-24
Greece,Fitch,2020-04-23,BB,12,,affirm,countryeconomy.com,2020-04-23
Greece,Fitch,2020-07-01,BB,12,Stable,affirm,theglobaleconomy.com (month-precision),2020-07-01
Greece,Fitch,2021-01-01,BB,12,Stable,affirm,theglobaleconomy.com (month-precision),2021-01-01
Greece,Fitch,2021-07-01,BB,12,Stable,affirm,theglobaleconomy.com (month-precision),2021-07-01
