country,agency,downgrade_date,rating,single_sourced_ge_only,status,n_near_available,n_near_valid,n_baseline_available,n_baseline_valid,near_mean_risk_score,baseline_mean_risk_score,diff
Greece,Moody's,2010-04-22,A3,False,ok,4.0,4.0,4.0,4.0,0.4759955695315388,0.42425069391683307,0.051744875614705754
Greece,Moody's,2010-06-14,Ba1,False,ok,4.0,4.0,4.0,4.0,0.4759955695315388,0.42425069391683307,0.051744875614705754
Greece,Moody's,2011-03-07,B1,False,ok,4.0,4.0,4.0,4.0,0.49899547394315447,0.4703755032383849,0.02861997070476957
Greece,Moody's,2011-06-01,Caa1,False,ok,4.0,4.0,4.0,4.0,0.5018186576921121,0.4759955695315388,0.02582308816057327
Greece,Moody's,2011-07-25,Ca,False,ok,4.0,4.0,4.0,4.0,0.5055230623611555,0.4839798346773171,0.02154322768383843
Greece,Moody's,2012-03-02,C,False,ok,4.0,4.0,4.0,4.0,0.5115705517674337,0.49899547394315447,0.012575077824279246
Greece,Moody's,2015-04-29,Caa2,False,ok,4.0,4.0,4.0,4.0,0.550946026532292,0.555697581871055,-0.004751555338763036
Greece,Moody's,2015-07-01,Caa3,False,ok,4.0,4.0,4.0,4.0,0.5371183147257376,0.5649705547347788,-0.027852240009041185
Greece,S&P,1990-07-01,BBB-,False,no_preceding_data,,,,,,,
Greece,S&P,2004-11-01,A,False,no_preceding_data,,,,,,,
Greece,S&P,2009-01-01,A-,False,ok,4.0,4.0,4.0,4.0,0.4039390590686572,0.4992127854624014,-0.0952737263937442
Greece,S&P,2009-12-01,BBB+,False,ok,4.0,4.0,4.0,4.0,0.45519552504676347,0.4014023045181423,0.05379322052862118
Greece,S&P,2010-03-01,BBB+,False,ok,4.0,4.0,4.0,4.0,0.4703755032383849,0.4039390590686572,0.06643644416972772
Greece,S&P,2010-04-01,BB+,False,ok,4.0,4.0,4.0,4.0,0.4759955695315388,0.42425069391683307,0.051744875614705754
Greece,S&P,2011-03-01,BB-,False,ok,4.0,4.0,4.0,4.0,0.49899547394315447,0.4703755032383849,0.02861997070476957
Greece,S&P,2011-05-01,B,False,ok,4.0,4.0,4.0,4.0,0.5018186576921121,0.4759955695315388,0.02582308816057327
Greece,S&P,2011-06-01,CCC,False,ok,4.0,4.0,4.0,4.0,0.5018186576921121,0.4759955695315388,0.02582308816057327
Greece,S&P,2011-07-27,CC,False,ok,4.0,4.0,4.0,4.0,0.5055230623611555,0.4839798346773171,0.02154322768383843
Greece,S&P,2012-02-27,SD,False,ok,4.0,4.0,4.0,4.0,0.5115705517674337,0.49899547394315447,0.012575077824279246
Greece,S&P,2012-12-05,SD,False,ok,4.0,4.0,4.0,4.0,0.5078296292260758,0.508492239371992,-0.000662610145916176
Greece,S&P,2015-02-06,B-,False,ok,4.0,4.0,4.0,4.0,0.5625985027206157,0.5369322771652636,0.02566622555535214
Greece,S&P,2015-04-15,CCC+,False,ok,4.0,4.0,4.0,4.0,0.550946026532292,0.555697581871055,-0.004751555338763036
Greece,S&P,2015-06-10,CCC,False,ok,4.0,4.0,4.0,4.0,0.550946026532292,0.555697581871055,-0.004751555338763036
Greece,S&P,2015-06-29,CCC-,False,ok,4.0,4.0,4.0,4.0,0.550946026532292,0.555697581871055,-0.004751555338763036
Pakistan,Fitch,2018-12-14,B-,False,ok,4.0,4.0,4.0,4.0,0.47529022506720753,0.4970392679209601,-0.021749042853752565
Pakistan,Fitch,2022-10-21,CCC+,False,ok,4.0,4.0,4.0,4.0,0.5234459569186244,0.5462732663921092,-0.02282730947348477
Pakistan,Fitch,2023-02-14,CCC-,False,ok,4.0,4.0,4.0,4.0,0.5101165369037062,0.5508542499947371,-0.040737713091030914
Pakistan,Moody's,1995-07-11,B1,False,no_preceding_data,,,,,,,
Pakistan,Moody's,1996-11-06,B2,False,no_preceding_data,,,,,,,
Pakistan,Moody's,1998-05-28,B3,False,no_preceding_data,,,,,,,
Pakistan,Moody's,1998-10-23,Caa1,False,no_preceding_data,,,,,,,
Pakistan,Moody's,2008-05-21,B2,False,ok,4.0,4.0,4.0,3.0,0.4255494001307634,0.2899389799627315,0.13561042016803193
Pakistan,Moody's,2008-10-28,B3,False,ok,4.0,4.0,4.0,4.0,0.46632171801902983,0.3548124038284814,0.11150931419054844
Pakistan,Moody's,2012-07-13,Caa1,False,ok,4.0,4.0,4.0,4.0,0.6218661564208785,0.6456724210575366,-0.023806264636658137
Pakistan,Moody's,2022-10-06,Caa1,False,ok,4.0,4.0,4.0,4.0,0.5234459569186244,0.5462732663921092,-0.02282730947348477
Pakistan,Moody's,2023-02-28,Caa3,False,ok,4.0,4.0,4.0,4.0,0.5101165369037062,0.5508542499947371,-0.040737713091030914
Pakistan,S&P,1998-06-01,B-,False,no_preceding_data,,,,,,,
Pakistan,S&P,1998-07-01,CCC,False,no_preceding_data,,,,,,,
Pakistan,S&P,1998-10-01,CCC-,False,no_preceding_data,,,,,,,
Pakistan,S&P,1998-12-01,CC,False,no_preceding_data,,,,,,,
Pakistan,S&P,2008-05-01,B,False,ok,4.0,4.0,4.0,3.0,0.4255494001307634,0.2899389799627315,0.13561042016803193
Pakistan,S&P,2008-10-01,CCC+,False,ok,4.0,4.0,4.0,4.0,0.46632171801902983,0.3548124038284814,0.11150931419054844
Pakistan,S&P,2008-11-01,CCC,False,ok,4.0,4.0,4.0,4.0,0.46632171801902983,0.3548124038284814,0.11150931419054844
Pakistan,S&P,2019-02-04,B-,False,ok,4.0,4.0,4.0,4.0,0.4822028791351697,0.48715817224214925,-0.004955293106979564
Pakistan,S&P,2022-12-22,CCC+,False,ok,4.0,4.0,4.0,4.0,0.5234459569186244,0.5462732663921092,-0.02282730947348477
Portugal,Fitch,2010-03-24,AA-,False,ok,4.0,4.0,4.0,4.0,0.4524519460724965,0.34547422173904363,0.10697772433345287
Portugal,Fitch,2010-12-23,A+,False,ok,4.0,4.0,4.0,4.0,0.4847666366532073,0.4259443449698782,0.05882229168332909
Portugal,Fitch,2011-03-24,A-,False,ok,4.0,4.0,4.0,4.0,0.49479274546360497,0.4524519460724965,0.04234079939110846
Portugal,Fitch,2011-04-01,BBB-,False,ok,4.0,4.0,4.0,4.0,0.49752398743710774,0.4604369582406441,0.03708702919646362
Portugal,Fitch,2011-11-24,BB+,False,ok,4.0,4.0,4.0,4.0,0.5105209777046019,0.4847666366532073,0.025754341051394625
Portugal,Moody's,2010-07-13,A1,False,ok,4.0,4.0,4.0,4.0,0.472383712836032,0.3935073296579422,0.07887638317808976
Portugal,Moody's,2011-03-15,A3,False,ok,4.0,4.0,4.0,4.0,0.49479274546360497,0.4524519460724965,0.04234079939110846
Portugal,Moody's,2011-04-05,Baa1,False,ok,4.0,4.0,4.0,4.0,0.49752398743710774,0.4604369582406441,0.03708702919646362
Portugal,Moody's,2011-07-05,Ba2,False,ok,4.0,4.0,4.0,4.0,0.5044414981199372,0.472383712836032,0.03205778528390524
Portugal,Moody's,2012-02-13,Ba3,False,ok,4.0,4.0,4.0,4.0,0.5171374680278188,0.49479274546360497,0.022344722564213826
Portugal,S&P,2005-06-01,AA-,False,insufficient_history,1.0,0.0,0.0,0.0,,,
Portugal,S&P,2009-01-01,A+,False,ok,4.0,4.0,4.0,4.0,0.34547422173904363,0.5034723416216127,-0.15799811988256907
Portugal,S&P,2009-12-01,A+,False,ok,4.0,4.0,4.0,4.0,0.4259443449698782,0.3500563004941242,0.07588804447575404
Portugal,S&P,2010-04-01,A-,False,ok,4.0,4.0,4.0,4.0,0.4604369582406441,0.371003749315622,0.0894332089250221
Portugal,S&P,2011-03-01,BBB,False,ok,4.0,4.0,4.0,4.0,0.49479274546360497,0.4524519460724965,0.04234079939110846
Portugal,S&P,2011-03-29,BBB-,False,ok,4.0,4.0,4.0,4.0,0.49479274546360497,0.4524519460724965,0.04234079939110846
Portugal,S&P,2012-01-13,BB,False,ok,4.0,4.0,4.0,4.0,0.5171374680278188,0.49479274546360497,0.022344722564213826
South Africa,Fitch,2013-03-08,BBB,False,ok,4.0,4.0,4.0,4.0,0.6343283326146407,0.629932877225233,0.004395455389407776
South Africa,Fitch,2015-12-04,BBB-,False,ok,4.0,4.0,4.0,4.0,0.5982692075929656,0.6202514140141975,-0.02198220642123183
South Africa,Fitch,2017-04-07,BB+,False,ok,4.0,4.0,4.0,4.0,0.6009965992814712,0.5964133796992624,0.004583219582208753
South Africa,Fitch,2020-04-03,BB,False,ok,4.0,4.0,4.0,4.0,0.5328884528938143,0.5048383645552652,0.02805008833854905
South Africa,Fitch,2020-11-20,BB-,False,ok,4.0,4.0,4.0,4.0,0.5445044019250601,0.5271573118404269,0.0173470900846332
South Africa,Moody's,2012-09-27,Baa1,False,ok,4.0,4.0,4.0,4.0,0.6294844063252545,0.6152083427295424,0.014276063595712096
South Africa,Moody's,2014-11-06,Baa2,False,ok,4.0,4.0,4.0,4.0,0.6202514140141975,0.6226235019115107,-0.0023720878973132464
South Africa,Moody's,2017-06-09,Baa3,False,ok,4.0,4.0,4.0,4.0,0.6009965992814712,0.5964133796992624,0.004583219582208753
South Africa,Moody's,2020-03-27,Ba1,False,ok,4.0,4.0,4.0,4.0,0.5299275299896803,0.5269404749539025,0.002987055035777786
South Africa,Moody's,2020-11-20,Ba2,False,ok,4.0,4.0,4.0,4.0,0.5445044019250601,0.5271573118404269,0.0173470900846332
South Africa,S&P,2012-10-12,BBB,False,ok,4.0,4.0,4.0,4.0,0.6305435085588471,0.6235012655627628,0.007042242996084358
South Africa,S&P,2014-06-13,BBB-,False,ok,4.0,4.0,4.0,4.0,0.6269044786102139,0.6230855325710067,0.003818946039207183
South Africa,S&P,2017-04-03,BB+,False,ok,4.0,4.0,4.0,4.0,0.6009965992814712,0.5964133796992624,0.004583219582208753
South Africa,S&P,2017-11-24,BB,False,ok,4.0,4.0,4.0,4.0,0.5882751040209309,0.5907205041989718,-0.0024454001780409573
South Africa,S&P,2020-04-29,BB-,False,ok,4.0,4.0,4.0,4.0,0.5328884528938143,0.5048383645552652,0.02805008833854905
Sri Lanka,Fitch,2008-04-02,B+,False,ok,4.0,4.0,4.0,3.0,0.4385832880338918,0.39562872003160515,0.04295456800228664
Sri Lanka,Fitch,2016-02-29,B+,False,ok,4.0,4.0,4.0,4.0,0.5682150376068522,0.5691553422126655,-0.0009403046058132913
Sri Lanka,Fitch,2018-12-03,B,False,ok,4.0,4.0,4.0,4.0,0.5073320133982809,0.5862359620238682,-0.07890394862558725
Sri Lanka,Fitch,2020-04-24,B-,False,ok,4.0,4.0,4.0,4.0,0.558602056891327,0.46348775412179344,0.09511430276953359
Sri Lanka,Fitch,2020-11-27,CCC,False,ok,4.0,4.0,4.0,4.0,0.5648566600018579,0.5257563984559542,0.039100261545903625
Sri Lanka,Fitch,2021-12-17,CC,False,ok,4.0,4.0,4.0,4.0,0.6174303598776689,0.5648566600018579,0.052573699875811064
Sri Lanka,Fitch,2022-04-13,C,False,ok,4.0,4.0,4.0,4.0,0.6085308142968464,0.6012795811948798,0.007251233101966625
Sri Lanka,Fitch,2022-05-19,RD,False,ok,4.0,4.0,4.0,4.0,0.6085308142968464,0.6012795811948798,0.007251233101966625
Sri Lanka,Moody's,2018-11-20,B2,False,ok,4.0,4.0,4.0,4.0,0.5073320133982809,0.5862359620238682,-0.07890394862558725
Sri Lanka,Moody's,2020-09-28,Caa1,False,ok,4.0,4.0,4.0,4.0,0.5548907395669007,0.4986211876909137,0.056269551875987034
