framing,model,rebal_date,n_train,n_test,ic
classification,lasso_logistic,2009-09-30,23,4,
classification,random_forest,2009-09-30,23,4,
classification,xgboost,2009-09-30,23,4,
classification,lasso_logistic,2009-12-31,27,4,
classification,random_forest,2009-12-31,27,4,
classification,xgboost,2009-12-31,27,4,
classification,lasso_logistic,2010-03-31,31,5,
classification,random_forest,2010-03-31,31,5,
classification,xgboost,2010-03-31,31,5,
classification,lasso_logistic,2010-06-30,36,3,
classification,random_forest,2010-06-30,36,3,
classification,xgboost,2010-06-30,36,3,
classification,lasso_logistic,2010-09-30,39,5,
classification,random_forest,2010-09-30,39,5,
classification,xgboost,2010-09-30,39,5,
classification,lasso_logistic,2010-12-31,44,5,
classification,random_forest,2010-12-31,44,5,
classification,xgboost,2010-12-31,44,5,
classification,lasso_logistic,2011-03-31,49,5,
classification,random_forest,2011-03-31,49,5,
classification,xgboost,2011-03-31,49,5,
classification,lasso_logistic,2011-06-30,54,7,
classification,random_forest,2011-06-30,54,7,
classification,xgboost,2011-06-30,54,7,
classification,lasso_logistic,2011-09-30,61,7,
classification,random_forest,2011-09-30,61,7,
classification,xgboost,2011-09-30,61,7,
classification,lasso_logistic,2011-12-31,68,7,
classification,random_forest,2011-12-31,68,7,
classification,xgboost,2011-12-31,68,7,
classification,lasso_logistic,2012-03-31,75,8,
classification,random_forest,2012-03-31,75,8,
classification,xgboost,2012-03-31,75,8,
classification,lasso_logistic,2012-06-30,83,9,
classification,random_forest,2012-06-30,83,9,
classification,xgboost,2012-06-30,83,9,
classification,lasso_logistic,2012-09-30,92,10,
classification,random_forest,2012-09-30,92,10,
classification,xgboost,2012-09-30,92,10,
classification,lasso_logistic,2012-12-31,102,10,
classification,random_forest,2012-12-31,102,10,
classification,xgboost,2012-12-31,102,10,
classification,lasso_logistic,2013-06-30,112,4,
classification,random_forest,2013-06-30,112,4,
classification,xgboost,2013-06-30,112,4,
classification,lasso_logistic,2013-09-30,116,4,
classification,random_forest,2013-09-30,116,4,
classification,xgboost,2013-09-30,116,4,
classification,lasso_logistic,2013-12-31,120,4,
classification,random_forest,2013-12-31,120,4,
classification,xgboost,2013-12-31,120,4,
classification,lasso_logistic,2014-03-31,124,4,
classification,random_forest,2014-03-31,124,4,
classification,xgboost,2014-03-31,124,4,
classification,lasso_logistic,2014-06-30,128,4,
classification,random_forest,2014-06-30,128,4,
classification,xgboost,2014-06-30,128,4,
classification,lasso_logistic,2014-09-30,132,4,
classification,random_forest,2014-09-30,132,4,
classification,xgboost,2014-09-30,132,4,
classification,lasso_logistic,2014-12-31,136,4,
classification,random_forest,2014-12-31,136,4,
classification,xgboost,2014-12-31,136,4,
classification,lasso_logistic,2015-03-31,140,4,
classification,random_forest,2015-03-31,140,4,
classification,xgboost,2015-03-31,140,4,
classification,lasso_logistic,2015-06-30,144,4,
classification,random_forest,2015-06-30,144,4,
classification,xgboost,2015-06-30,144,4,
classification,lasso_logistic,2015-09-30,148,4,
classification,random_forest,2015-09-30,148,4,
classification,xgboost,2015-09-30,148,4,
classification,lasso_logistic,2015-12-31,152,4,
classification,random_forest,2015-12-31,152,4,
classification,xgboost,2015-12-31,152,4,
classification,lasso_logistic,2016-03-31,156,4,
classification,random_forest,2016-03-31,156,4,
classification,xgboost,2016-03-31,156,4,
classification,lasso_logistic,2016-06-30,160,4,
